name,lat,lng,status,npsn,bentuk,telp,alamat,kelurahan,kecamatan
SDN 273 GEMPOL SARI KOTA BANDUNG,-6.934900000000,107.553300000000,Negeri,20244863,SD,,Komplek Bumi Asri E-40,Gempol Sari,Kec. Bandung Kulon
SDN 274 CEMPAKA ARUM KOTA BANDUNG,-6.957600000000,107.707800000000,Negeri,20245486,SD,0227831910,Jl. Umar Bin Khotob,Rancanumpang,Kec. Gedebage
SD 1 KRISTEN PAULUS,-6.903600000000,107.599600000000,Swasta,20219591,SD,4237131,Jl. Dr. Rajiman No. 11,Pasirkaliki,Kec. Cicendo
SD 3 KRISTEN PAULUS,-6.911000000000,107.617900000000,Swasta,20219588,SD,0224200244,Jl. Lombok No. 7,Merdeka,Kec. Sumur Bandung
SD ABU AZIS,-6.906479000000,107.573435900000,Swasta,69947473,SD,0227275652,Jl. Jamaras IV No. 11b,Jatihandap,Kec. Mandalajati
SD ADVENT CIMINDI,-6.901300000000,107.563900000000,Swasta,20219531,SD,0226010612,Jl. Raya Cimindi No. 74,Campaka,Kec. Andir
SD ADVENT II BANDUNG,-6.883200000000,107.602400000000,Swasta,20258082,SD,0222043220,Jl. Setiabudhi No 1 Bandung,Cipaganti,Kec. Coblong
SD ADVENT NARIPAN,-6.918600000000,107.612300000000,Swasta,20219530,SD,0224234027,Jl.Naripan No.91,Kebon Pisang,Kec. Sumur Bandung
SD ADZKIA,-6.867400000000,107.602000000000,Swasta,69932122,SD,0222041514,Jl. Panumbang Jaya Dalam No. 38F,Ciumbuleuit,Kec. Cidadap
SD AL AZHAR 36,-6.927500000000,107.623900000000,Swasta,69752555,SD,082115200077,Jl. Palasari nomor 09,Lingkar Selatan,Kec. Lengkong
SD AL BAROKAH,-6.927700000000,107.578700000000,Swasta,20219528,SD,6121235,Jl. Aki Padma No. 23,BABAKAN,Kec. Babakan Ciparay
SD AL BASYARIYAH,-6.949400000000,107.590600000000,Swasta,20219527,SD,02285447672,Jl. Cibaduyut Lama Komplek Sauyunan,KEBON LEGA,Kec. Bojong Loa Kidul
SD AL FALAH,-6.872600000000,107.625600000000,Swasta,20219526,SD,20468502,Jl. Cisitu Baru No.52,DAGO,Kec. Coblong
SD AL FATAH,-6.943700000000,107.589400000000,Swasta,20219525,SD,081222795110,Jl. Kopo Gg. Sukaleueur,Babakan Asih,Kec. Bojong Loa Kaler
SD AL FATAH AL HASAN,-6.893000000000,107.561100000000,Swasta,20219524,SD,082121499400,Jl. Gunung Batu No. 31,SUKARAJA,Kec. Cicendo
SD AL HIDAYAH,-6.929500000000,107.585200000000,Swasta,20219523,SD,6125992,Jl. Babakan Ciparay No. 147,Suka Asih,Kec. Bojong Loa Kaler
SD AL HUSAINIYYAH,-6.878400000000,107.606300000000,Swasta,20219544,SD,,Jl. Bukit Jarian No.29/165 D,Hegarmanah,Kec. Cidadap
SD AL IKHLAS,-6.884900000000,107.594100000000,Swasta,20219532,SD,02282602705,Jln. Karang Tineung Dalam No. 84,Cipedes,Kec. Sukajadi
SD AL KENZIE,-6.959400900000,107.657501700000,Swasta,70005214,SD,0228724825,Jl. Kp. Margaasih - Cijawura,Cijaura,Kec. Buahbatu
SD AL QURAN ISLAMIYAH,0.000000000000,0.000000000000,Swasta,70052205,SD,082295694857,Jl. Gg. Sukaleueur No. 100 RT.02/07,Babakan Asih,Kec. Bojong Loa Kaler
SD AL- HIDAYAH,-6.872000000000,107.608100000000,Swasta,20252052,SD,08976632920,Jl. Rancabulan No. 7 Rancabentang,Ciumbuleuit,Kec. Cidadap
SD AL-AMIN,-6.881100000000,107.616200000000,Swasta,20219529,SD,08814537157,Jl. Bangbayang No. 15/157 C,Sekeloa,Kec. Coblong
SD AL-HUNAFA,0.000000000000,0.000000000000,Swasta,70031983,SD,0818242528,Jl. Negla Senang I,Pasanggrahan,Kec. Ujungberung
SD AL-IHSAN ISLAMIC SCHOOL,-6.933762000000,107.679076000000,Swasta,69969798,SD,081320975696,Jl. Cisaranten Baru I No. 11,Cisaranten Kulon,Kec. Arcamanik
SD AL-IRHAAM GLOBAL ISLAMIC SCHOOL,-6.904500000000,107.675800000000,Swasta,20252083,SD,02263761735,Jl. A.H. Nasution No. 133,Karang Pamulang,Kec. Mandalajati
SD AL-QURAN,-6.899764000000,107.675310000000,Swasta,69986341,SD,02287789504,Jl. A.H. Nasution No. 185,Pasir Impun,Kec. Mandalajati
SD ALAM BANDUNG,-6.866500000000,107.617400000000,Swasta,20269424,SD,02220458742,Jl. Cikalapa II No. 4 Kp. Tanggulan Dago Pojok,Dago,Kec. Coblong
SD ALFA CENTAURI,-6.927600000000,107.623100000000,Swasta,69734330,SD,0227310894,Jl. Terate No. 10,Samoja,Kec. Batununggal
SD ANDIR MUKTI,-6.913600000000,107.570600000000,Swasta,20219533,SD,02220594906,Jl. Jend. Sudirman Blk 799,Cijerah,Kec. Bandung Kulon
SD ANGKASA 1,-6.905600000000,107.586100000000,Swasta,20219534,SD,02220569901,Jl. Pajajaran No. 150,Pajajaran,Kec. Cicendo
SD ANGKASA 3,-6.899000000000,107.586500000000,Swasta,20219542,SD,0226078931,Jl. Zuhri Cik Deri,Pajajaran,Kec. Cicendo
SD AR-RAHMAN DARUL ILMI,-6.893400000000,107.615543000000,Swasta,69934958,SD,,Jl. Ir. H. Juanda Blk No. 423,Dago,Kec. Coblong
SD ARRAFI,-6.942000000000,107.645700000000,Swasta,20247205,SD,0227311009,Jl. Sekejati III No.20,Sukapura,Kec. Kiaracondong
SD ASHFIYA,-6.945300000000,107.682200000000,Swasta,69922041,SD,085316335505,Jl. Riung Mungpulung I,Cisaranten Kidul,Kec. Gedebage
SD ASSALAAM,-6.925700000000,107.607600000000,Swasta,20219541,SD,0224201338,Jl. Sasakgantung No. 1-3,Balong Gede,Kec. Regol
SD ASY-SYIFA 1,-6.951100000000,107.667000000000,Swasta,20219539,SD,0227564156,Jalan Saturnus Timur No. 94,Manjahlega,Kec. Rancasari
SD ASY-SYIFA 2,-6.927400000000,107.662700000000,Swasta,20219580,SD,7276439,Jl. Randusari V,Antapani Kidul,Kec. Antapani
SD ATTAZHIMIYAH,-6.944800000000,107.565500000000,Swasta,20219538,SD,,Blok Pesantren RT.01 RW.04,Cigondewah Kidul,Kec. Bandung Kulon
SD AZ-ZAKIYAH,-6.944900000000,107.649500000000,Swasta,20219579,SD,0227503784,Jl. Cijawura Girang IV No.2,Sekejati,Kec. Buahbatu
SD BAITUL HIKMAH,-6.921200000000,107.565000000000,Swasta,69947447,SD,20563364,Jl. Mekar Indah No. 2B,Cijerah,Kec. Bandung Kulon
SD BALA KESELAMATAN,-6.922200000000,107.604200000000,Swasta,20219585,SD,0226013297,Jl. Gardujati No. 89,Kebon Jeruk,Kec. Andir
SD BANDUNG ISLAMIC SCHOOL,-6.917600000000,107.615400000000,Swasta,69971730,SD,081220475731,Jl. Van Deventer No.12,Kebon Pisang,Kec. Sumur Bandung
SD BANDUNG RAYA,-6.922600000000,107.569100000000,Swasta,20219537,SD,081322450839,Jl. Cijerah No. 151,Cibuntu,Kec. Bandung Kulon
SD BIANGLALA,-6.875600000000,107.595700000000,Swasta,20247206,SD,0222008676,Jl. Sari Endah 19 A Gegerkalong Hilir,Sukarasa,Kec. Sukasari
SD BINA TALENTA,-6.939900000000,107.612500000000,Swasta,20247274,SD,0225208123,Jl. Kembar Baru Utara No.4 Bandung,Cigereleng,Kec. Regol
SD BINAR INDONESIA,-6.952100000000,107.661800000000,Swasta,70003404,SD,02287310227,Jl. Rancabolang No. 241,Manjahlega,Kec. Rancasari
SD BINEKAS,-6.903641000000,107.658246000000,Swasta,69980028,SD,081395221590,Buah Batu Regency G7-7,Kujangsari,Kec. Bandung Kidul
SD BINTANG MADANI,-6.903600000000,107.680700000000,Swasta,20270664,SD,0227211124,Jl. Terusan Pesantren No. 102,Cisaranten Bina Harapan,Kec. Arcamanik
SD BINTANG MULIA,-6.953600000000,107.602100000000,Swasta,20255795,SD,0225233890,Jl. Mekar Kencana No.1,Mekar Wangi,Kec. Bojong Loa Kidul
SD BODHI SINAR TERANG,-6.912426000000,107.583537000000,Swasta,69967567,SD,6125669,Jl. Jend. Sudirman No. 478 - 480,Ciroyom,Kec. Andir
SD BPI,-6.926900000000,107.624000000000,Swasta,20219536,SD,0227301460,Jl. HALIMUN NO. 40,Lingkar Selatan,Kec. Lengkong
SD BPMD TARUNA,-6.915300000000,107.577300000000,Swasta,20219535,SD,6044336,Jl. Hasan Ali No. 64 A/76,Dungus Cariang,Kec. Andir
SD BUDI ASIH,-6.951900000000,107.646600000000,Swasta,20219522,SD,0227531013,Jl. Cipagalo Girang,Margasari,Kec. Buahbatu
SD BUDI ISTRI,-6.929600000000,107.619600000000,Swasta,20219617,SD,0227312428,JL. SANCANG NO. 4,BURANGRANG,Kec. Lengkong
SD BUDI SASTRA,-6.954300000000,107.600200000000,Swasta,20219604,SD,,Jl. Warna Cinta No. 98,Mekar Wangi,Kec. Bojong Loa Kidul
SD CAHAYA NUSANTARA,-6.929500000000,107.568200000000,Swasta,20258325,SD,0226076904,Komp. Taman Burung B 02 Gempol Sari,Gempol Sari,Kec. Bandung Kulon
SD CAHAYA PELITA,-6.927500000000,107.585400000000,Swasta,20219603,SD,02286061384,Jl. Babakan Ciparay No. 251/194 A,Sukahaji,Kec. Babakan Ciparay
SD CEMARA,-6.885300000000,107.598900000000,Swasta,20219601,SD,081387114374,Jl. Cemara Selatan No. 358 / 181,Pasteur,Kec. Sukajadi
SD CERDAS MULIA EKSELENSIA,-6.956382400000,107.677865200000,Swasta,69949228,SD,02287528060,Jl. Rahayu Raya II Blok Rancacili,Cipamokolan,Kec. Rancasari
SD CERDAS MUTHAHHARI,-6.921300000000,107.671700000000,Swasta,20267679,SD,02287241063,Jl. Layar No. 17,Cisaranten Endah,Kec. Arcamanik
SD CIPAERA,-6.920500000000,107.624100000000,Swasta,20219599,SD,087825463616,Jl. Cipaera Selatan No. 145/33,MALABAR,Kec. Lengkong
SD CIPTA KARYA,-6.921600000000,107.636400000000,Swasta,20246315,SD,081222009993,Jl. Jembatan Opat Cibangkong Lor No. 34 Bandung,Maleer,Kec. Batununggal
SD CITRA CEMARA,-6.919200000000,107.573600000000,Swasta,20269306,SD,0226123475,Jl. Soekarno Hatta No. 22,Cibuntu,Kec. Bandung Kulon
SD CITRA WINAYA,-6.891800000000,107.591200000000,Swasta,20219598,SD,,Jl. Cipedes Tengah No. 8,Cipedes,Kec. Sukajadi
